Serial Number:     491570     --     Series: Temperature (*C) c:1

Date Time	Temperature (*C) c:1
07/02/09 18:00:00.0	15.62
07/02/09 18:30:00.0	15.23
07/02/09 19:00:00.0	15.23
07/02/09 19:30:00.0	15.23
07/02/09 20:00:00.0	15.23
07/02/09 20:30:00.0	15.23
07/02/09 21:00:00.0	15.23
07/02/09 21:30:00.0	15.23
07/02/09 22:00:00.0	15.23
07/02/09 22:30:00.0	15.23
07/02/09 23:00:00.0	15.23
07/02/09 23:30:00.0	15.23
07/03/09 00:00:00.0	15.23
07/03/09 00:30:00.0	15.23
07/03/09 01:00:00.0	15.23
07/03/09 01:30:00.0	15.23
07/03/09 02:00:00.0	15.23
07/03/09 02:30:00.0	15.23
07/03/09 03:00:00.0	15.23
07/03/09 03:30:00.0	15.23
07/03/09 04:00:00.0	14.85
07/03/09 04:30:00.0	15.23
07/03/09 05:00:00.0	15.23
07/03/09 05:30:00.0	14.85
07/03/09 06:00:00.0	14.85
07/03/09 06:30:00.0	14.85
07/03/09 07:00:00.0	14.85
07/03/09 07:30:00.0	14.85
07/03/09 08:00:00.0	14.85
07/03/09 08:30:00.0	14.85
07/03/09 09:00:00.0	15.23
07/03/09 09:30:00.0	15.23
07/03/09 10:00:00.0	15.23
07/03/09 10:30:00.0	15.23
07/03/09 11:00:00.0	15.23
07/03/09 11:30:00.0	15.23
07/03/09 12:00:00.0	15.23
07/03/09 12:30:00.0	15.62
07/03/09 13:00:00.0	15.62
07/03/09 13:30:00.0	15.23
07/03/09 14:00:00.0	15.23
07/03/09 14:30:00.0	15.23
07/03/09 15:00:00.0	15.62
07/03/09 15:30:00.0	16
07/03/09 16:00:00.0	16.38
07/03/09 16:30:00.0	16.38
07/03/09 17:00:00.0	16.38
07/03/09 17:30:00.0	16.38
07/03/09 18:00:00.0	16.38
07/03/09 18:30:00.0	16.38
07/03/09 19:00:00.0	16.38
07/03/09 19:30:00.0	16.38
07/03/09 20:00:00.0	16.38
07/03/09 20:30:00.0	16.38
07/03/09 21:00:00.0	16.38
07/03/09 21:30:00.0	16
07/03/09 22:00:00.0	16
07/03/09 22:30:00.0	16
07/03/09 23:00:00.0	16
07/03/09 23:30:00.0	16
07/04/09 00:00:00.0	16
07/04/09 00:30:00.0	16
07/04/09 01:00:00.0	16
07/04/09 01:30:00.0	16
07/04/09 02:00:00.0	16
07/04/09 02:30:00.0	16
07/04/09 03:00:00.0	16
07/04/09 03:30:00.0	16
07/04/09 04:00:00.0	15.62
07/04/09 04:30:00.0	15.62
07/04/09 05:00:00.0	16
07/04/09 05:30:00.0	15.62
07/04/09 06:00:00.0	15.62
07/04/09 06:30:00.0	15.62
07/04/09 07:00:00.0	15.62
07/04/09 07:30:00.0	15.62
07/04/09 08:00:00.0	15.62
07/04/09 08:30:00.0	15.62
07/04/09 09:00:00.0	15.62
07/04/09 09:30:00.0	15.62
07/04/09 10:00:00.0	15.62
07/04/09 10:30:00.0	16
07/04/09 11:00:00.0	16
07/04/09 11:30:00.0	16
07/04/09 12:00:00.0	16
07/04/09 12:30:00.0	16
07/04/09 13:00:00.0	16
07/04/09 13:30:00.0	15.62
07/04/09 14:00:00.0	15.62
07/04/09 14:30:00.0	15.62
